type,Lat,Lon,start_year,description,magnitude
Earthquake,-19.572,169.438,1910,Vanuatu,7.8
Earthquake,25.911,123.973,1910,northeast of Taiwan,8.1
Earthquake,28.074,69.333,1909,Pakistan,7
Earthquake,16.471,-99.427,1909,"offshore Guerrero, Mexico",7.5
Earthquake,35.387,70.251,1909,"Hindu Kush region, Afghanistan",7.7
Earthquake,35.407,142.29,1909,"off the east coast of Honshu, Japan",7.1
Earthquake,34.248,50.41,1909,central Iran,7.3
Earthquake,38,15.349,1908,"Sicily, Italy",7
Earthquake,26.948,96.773,1908,Myanmar,7
Earthquake,39.179,70.585,1907,Tajikistan,7.4
Earthquake,16.513,-97.304,1907,"Oaxaca, Mexico",7.8
Earthquake,1.873,94.209,1907,off the west coast of northern Sumatra,7.8
Earthquake,44.284,85.572,1906,"northern Xinjiang, China",7.8
Earthquake,36.79,67.021,1906,central Afghanistan,7
Earthquake,-6.249,147.281,1906,"eastern New Guinea region, Papua New Guinea",8
Earthquake,-32.4,-71.4,1906,"Valparaiso, Chile",8.2
Earthquake,51.853,178.18,1906,"Rat Islands, Aleutian Islands, Alaska",8.3
Earthquake,38.056,-122.403,1906,"San Pablo Bay, California",7.7
Earthquake,0.955,-79.369,1906,near the coast of Ecuador,8.3
Earthquake,34.167,138.101,1906,"near the south coast of Honshu, Japan",7.4
Earthquake,39.114,23.974,1905,Aegean Sea,7.4
Earthquake,38.636,15.784,1905,"Sicily, Italy",7.2
Earthquake,49.369,96.61,1905,western Mongolia,8.3
Earthquake,49.709,98.483,1905,central Mongolia,8.3
Earthquake,32.636,76.788,1905,"Himachal Pradesh, India",7.9
Earthquake,52.864,160.445,1904,"off the east coast of the Kamchatka Peninsula, Russia",7.7
Earthquake,51.565,161.417,1904,"off the east coast of the Kamchatka Peninsula, Russia",7.5
Earthquake,15,-98,1903,"off the coast of Oaxaca, Mexico",7.7
Earthquake,16,-93,1902,"Chiapas, Mexico",7.8
Earthquake,18,146,1902,"Alamagan region, Northern Mariana Islands",7.5
Earthquake,40,77,1902,Kyrgyzstan-Xinjiang border region,7.7
Earthquake,14,-91,1902,Guatemala,7.5
Earthquake,40,144,1901,"off the east coast of Honshu, Japan",7.5
Earthquake,-22,170,1901,southeast of the Loyalty Islands,7.9
Earthquake,11,-66,1900,"offshore Miranda, Venezuela",7.7
Earthquake,60,-142,1900,Southeastern Alaska,7.7
Earthquake,-10,165,1900,Santa Cruz Islands,7.6
